Id,Fecha,Ruta,Operador,Trayecto,Modelo del Avion,Registro,Total a Bordo,Pasajeros a bordo,Tripulantes a bordo,Total Fallecidos,Fatalidad Pasajeros,Fatalidad Tripulantes,Fatalidad en Tierra,Año,Tipo de Operador,Origen
692,1943-08-27,North Sea,AB Aerotransport,Aberdeen - Stockholm,Douglas DC-3,SE-BAF,7,3,4,7,3,4,0,1943,Comercial,Sweden
693,1943-09-10,"Galveston,Texas",Military - U.S. Army Air Forces,Desconocido,Boeing B-17F / Boeing B-17F,42-4621/42-6031,22,0,22,22,0,22,0,1943,Militar,No encontrado
694,1943-09-20,"Maxton,North Carolina",Military - U.S. Army Air Forces,Maxton - Godman,Douglas C-53D-DO,42-68729,25,21,4,25,21,4,0,1943,Militar,No encontrado
695,1943-09-22,"Calcutta,India",Military - U.S. Army Air Forces,Desconocido,Douglas C-53,42-6471,20,15,5,20,15,5,0,1943,Militar,No encontrado
696,1943-10-15,"Centerville,Tennessee",American Airlines,Nashville - Memphis,Douglas DC3-G102,NC16088,15,11,4,15,11,4,0,1943,Comercial,United States
697,1943-10-19,"St. Donat,Quebec,Canada",Military - Royal Canadian Air Force,Gander - Mont-Joli,Consolidated B-24,3701,24,20,4,24,20,4,0,1943,Militar,No encontrado
698,1943-10-22,"Hallo,Sweden",AB Aerotransport,Aberdeen - Stockholm,Douglas DC-3,SE-BAG,15,12,3,13,12,3,0,1943,Comercial,Sweden
699,1943-10-22,"Columbus,Georgia",Military - U.S. Army Air Forces,Desconocido,Douglas C-47-DL,42-5677,20,15,5,20,15,5,0,1943,Militar,No encontrado
700,1943-11-05,Eastern Libya,British Overseas Airways,Cairo - Djerba - Poole,Short Sunderland 3,G-AGIB,19,10,9,19,10,9,0,1943,Comercial,United Kingdom
702,1943-11-19,"Kunming,China",China National Aviation Corporation,Desconocido,Douglas C-53,59,3,0,3,2,0,2,0,1943,Comercial,No encontrado
703,1943-11-19,"Kunming,China",China National Aviation Corporation,Desconocido,Douglas C-47,63,3,0,3,3,0,3,0,1943,Comercial,No encontrado
704,1943-11-26,"Port Moresby,New Guinea",Qantas,"Port Moresby - Townsville,, Queensland, Australia",Lockheed L-18-56 Lodestar,VH-CAB,15,11,4,15,11,4,0,1943,Comercial,Australia
705,1943-12-17,"Montrose,Scotland",British Overseas Airways,Stockholm - Leuchars,Lockheed 18-56 Lodestar,G-AGdE,10,7,3,10,7,3,0,1943,Comercial,No encontrado
706,1943-12-18,"Suifu,China",China National Aviation Corporation,Desconocido,Douglas C-47,83,3,0,3,3,0,3,0,1943,Comercial,No encontrado
707,1943-12-19,"Canal Creek,Australia",Military - U.S. Air Force,Townsville - Rockhampton - Brisbane,Douglas C-47A-60-DL,43-30742,31,27,4,31,27,4,0,1943,Militar,No encontrado
708,1943-12-29,"Lakeside,Utah",Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,Wendover Field - Pocatello AAB,Consolidated B-24 / Consolidated B-24,42-7183/42-7408,25,0,25,25,0,25,0,1943,Militar,No encontrado
709,1944-01-15,"Belgrad,Yugoslavia",Deutsche Lufthansa,Thessaloniki - Belgrade,Junkers JU-52/3m,D-ADQW,5,3,2,5,3,2,0,1944,Comercial,Germany
710,1944-02-10,"Memphis,Tennessee",American Airlines,Little Rock - Memphis,Douglas DC-3,NC21767,24,21,3,24,21,3,0,1944,Comercial,United States
711,1944-02-10,"Quelimane,Mozambique",DETA,Quelimane - Lourence Marques,Lockheed 14-H2 Super Electra,CR-AAV,14,10,4,14,10,4,0,1944,Comercial,Portugal
712,1944-02-20,China,China National Aviation Corporation,Desconocido,Douglas C-47,75,2,0,2,2,0,2,0,1944,Comercial,No encontrado
713,1944-02-21,"Eubeoa,Greece",Deutsche Lufthansa,Desconocido,Junkers JU-52/3m,D-ABAS,16,13,3,16,13,3,0,1944,Comercial,Germany
715,1944-04-06,"Nome,Alaska",Pan American World Airways,Nome - Fairbanks,Pilgrim 100B,NC742N,6,3,3,6,3,3,0,1944,Comercial,United States
716,1944-04-17,"Belgrad,Yugoslavia",Deutsche Lufthansa,Vienna - Belgrade - Sofia - Thessaloniki - Athens,Junkers JU-52/3m,D-AOCA,7,4,3,5,4,1,0,1944,Comercial,Germany
717,1944-04-21,"Frederikstad,Norway",Deutsche Lufthansa,Copenhagen - Oslo,Douglas DC-3,D-AAIG,20,17,3,9,6,3,0,1944,Comercial,Germany
718,1944-04-25,"Montreal,Canada",Military - Royal Air Force,"Montreal, Canada - European air base",Consolidated Liberator,Sin Dato,16,11,5,16,11,5,0,1944,Militar,No encontrado
719,1944-05-26,"Between Calcutta to Dinjan,China",China National Aviation Corporation,Calcutta - Dinjan,Douglas C-47,82,12,9,3,12,9,3,0,1944,Comercial,No encontrado
721,1944-06-06,"Barneville,France",Military - U.S. Army Air Forces,Desconocido,Douglas C-47A,42-93095,22,18,4,22,18,4,0,1944,Militar,No encontrado
722,1944-06-06,"Flamanville,France",Military - U.S. Army Air Forces,Desconocido,Douglas C-47A,42-100905,22,17,5,22,17,5,0,1944,Militar,No encontrado
723,1944-06-06,"Carentan,France",Military - U.S. Army Air Forces,Desconocido,Douglas C-47A-DL,42-101035,22,18,4,22,18,4,0,1944,Militar,No encontrado
724,1944-06-08,"Kunming,China",China National Aviation Corporation,Dijan - Kunming,Douglas C-47,85,6,0,6,6,0,6,0,1944,Comercial,No encontrado
725,1944-06-18,"Kweilin,China",China National Aviation Corporation,"Kunming - Chungking,",Douglas C-47,71,4,1,3,2,1,1,0,1944,Comercial,No encontrado
726,1944-06-20,"Porto Alegre,Brazil",Varig,Desconocido,Lockheed 10C Electra,PP-VAG,10,8,2,10,8,2,0,1944,Comercial,Brazil
727,1944-07-11,"Portland,Maine",Military - U.S. Army,Barksdale - Portland,Douglas A-26B Invader,43-22253,2,0,2,2,0,2,19,1944,Militar,No encontrado
728,1944-07-23,"Nineteen miles W of Kokoda,Papua New Guinea",Military - US Navy,"Cairns or Mareeba, Australia - Los Negros Island",R4D-5,39090,17,15,2,17,15,2,0,1944,Militar,No encontrado
729,1944-07-26,North Atlantic Ocean,Military - U.S. Army Air Forces,"England - Long Island, N.Y.",Douglas C-54A-DO (DC-4),42-107470,26,20,6,26,20,6,0,1944,Militar,No encontrado
730,1944-07-27,"Port Logan,Scotland",Military - U.S. Army Air Forces,Bristol - Preswick,Douglas C-47A-DK,42-93038,22,17,5,22,17,5,0,1944,Militar,No encontrado
731,1944-07-31,"Funafuti,Gilbert Islands,Pacific Ocean",Pan American Airways,Desconocido,Consolidated Catalina PB2Y-3R,7233,24,17,7,22,16,6,0,1944,Comercial,No encontrado
732,1944-08-03,"Naper,Nebraska",Military - U.S. Army Air Forces,"Bruning, NB - Pierre, SD",Douglas C-47A-DL,42-23652,28,24,4,28,24,4,0,1944,Militar,No encontrado
733,1944-08-08,"Antilla,Cuba",Pan American World Airways,San Juan - Antilla - Miami,Sikorsky S-42 (flying boat),NC823M,31,26,5,17,17,0,0,1944,Comercial,United States
734,1944-08-12,"Blythburgh,England",Military - U.S. Navy,Desconocido,Consolidated PB4Y-1,32271,2,0,2,2,0,2,0,1944,Militar,No encontrado
